customer_id,last_order,frequency,completed_orders,recency,segment
1,2024-12-22,8,8,8,Loyal Customers
2,2024-09-20,3,1,101,Regular Customers
3,2024-11-21,1,1,39,New/One-Time
4,2024-10-11,4,4,80,Loyal Customers
5,2024-11-25,7,6,35,Loyal Customers
6,2024-06-22,4,4,191,At Risk
7,2024-09-27,2,2,94,Regular Customers
8,2024-12-15,3,3,15,Regular Customers
9,2024-10-19,3,2,72,Regular Customers
10,2024-07-04,4,3,179,Regular Customers
11,2024-12-01,1,1,29,New/One-Time
12,2024-11-30,3,3,30,Regular Customers
13,2024-12-15,5,5,15,Loyal Customers
14,2024-12-05,5,2,25,Loyal Customers
15,2024-09-17,5,4,104,Regular Customers
16,2024-05-26,1,1,218,At Risk
17,2024-09-19,2,2,102,Regular Customers
18,2024-12-24,1,1,6,New/One-Time
19,2024-11-30,2,2,30,Regular Customers
20,2024-07-24,3,1,159,Regular Customers
21,2024-09-13,2,2,108,Regular Customers
22,2024-10-14,3,3,77,Regular Customers
23,2024-12-14,4,4,16,Loyal Customers
25,2024-11-07,5,3,53,Loyal Customers
26,2024-10-21,3,3,70,Regular Customers
27,2024-12-29,1,1,1,New/One-Time
28,2024-11-11,5,5,49,Loyal Customers
29,2024-10-17,3,2,74,Regular Customers
30,2024-08-08,1,1,144,New/One-Time
31,2024-02-28,1,1,306,At Risk
32,2024-04-09,1,1,265,At Risk
33,2024-06-17,3,3,196,At Risk
34,2024-12-17,4,3,13,Loyal Customers
35,2024-10-15,6,3,76,Loyal Customers
36,2024-10-28,4,4,63,Loyal Customers
37,2024-08-14,3,2,138,Regular Customers
38,2024-12-06,5,5,24,Loyal Customers
39,2024-11-13,8,8,47,Loyal Customers
40,2024-11-20,1,1,40,New/One-Time
41,2024-07-20,3,3,163,Regular Customers
42,2024-10-31,5,2,60,Loyal Customers
43,2024-08-30,2,2,122,Regular Customers
44,2024-12-21,4,4,9,Loyal Customers
45,2024-10-13,1,1,78,New/One-Time
46,2024-09-25,3,3,96,Regular Customers
47,2024-11-03,6,5,57,Loyal Customers
48,2024-12-20,3,3,10,Regular Customers
49,2024-12-12,4,4,18,Loyal Customers
50,2024-10-14,1,1,77,New/One-Time
51,2024-11-08,7,5,52,Loyal Customers
52,2024-10-21,3,3,70,Regular Customers
53,2024-12-26,7,6,4,Loyal Customers
54,2024-11-08,7,7,52,Loyal Customers
55,2024-12-10,2,2,20,Regular Customers
56,2024-11-20,2,2,40,Regular Customers
57,2024-09-26,1,1,95,New/One-Time
58,2024-11-24,6,4,36,Loyal Customers
59,2024-02-24,1,1,310,At Risk
60,2024-12-04,3,2,26,Regular Customers
61,2024-10-08,2,2,83,Regular Customers
62,2024-08-20,5,3,132,Regular Customers
63,2024-10-19,8,6,72,Loyal Customers
