order_id,customer_id,order_date,status,country,signup_date,year,month,month_name,quarter,day_name,year_month,first_order_date,days_since_first_order
1,103,2024-10-31,Completed,Italy,2023-03-22,2024,10,October,4,Thursday,2024-10,2024-01-25,280
2,271,2024-10-12,Completed,France,2023-08-29,2024,10,October,4,Saturday,2024-10,2024-05-30,135
3,107,2024-05-23,Completed,Italy,2024-01-05,2024,5,May,2,Thursday,2024-05,2024-05-23,0
4,72,2024-01-19,Completed,France,2023-10-30,2024,1,January,1,Friday,2024-01,2024-01-19,0
5,189,2024-01-18,Completed,Germany,2023-06-03,2024,1,January,1,Thursday,2024-01,2024-01-18,0
6,21,2024-09-13,Completed,France,2023-01-17,2024,9,September,3,Friday,2024-09,2024-02-23,203
7,103,2024-03-18,Completed,Italy,2023-03-22,2024,3,March,1,Monday,2024-03,2024-01-25,53
8,122,2024-06-23,Cancelled,Germany,2023-06-10,2024,6,June,2,Sunday,2024-06,2024-03-08,107
9,215,2024-07-12,Completed,Germany,2024-02-15,2024,7,July,3,Friday,2024-07,2024-02-02,161
10,88,2024-04-22,Completed,Italy,2023-12-09,2024,4,April,2,Monday,2024-04,2024-04-22,0
11,100,2024-04-23,Completed,Italy,2024-02-08,2024,4,April,2,Tuesday,2024-04,2024-02-06,77
12,152,2024-08-09,Completed,Morocco,2023-09-15,2024,8,August,3,Friday,2024-08,2024-02-16,175
13,131,2024-06-14,Completed,Spain,2024-04-08,2024,6,June,2,Friday,2024-06,2024-02-28,107
14,150,2024-11-14,Completed,Morocco,2024-02-07,2024,11,November,4,Thursday,2024-11,2024-09-27,48
15,258,2024-05-11,Completed,Morocco,2023-10-06,2024,5,May,2,Saturday,2024-05,2024-04-01,40
16,294,2024-09-20,Completed,France,2024-01-06,2024,9,September,3,Friday,2024-09,2024-02-05,228
17,192,2024-02-24,Completed,Italy,2023-08-10,2024,2,February,1,Saturday,2024-02,2024-01-12,43
18,277,2024-12-24,Completed,Germany,2023-07-19,2024,12,December,4,Tuesday,2024-12,2024-01-15,344
19,161,2024-05-10,Returned,Germany,2023-12-24,2024,5,May,2,Friday,2024-05,2024-05-10,0
20,22,2024-10-14,Completed,Italy,2023-08-04,2024,10,October,4,Monday,2024-10,2024-04-17,180
21,253,2024-09-22,Completed,Morocco,2023-05-19,2024,9,September,3,Sunday,2024-09,2024-01-07,259
22,236,2024-06-10,Completed,Morocco,2023-01-02,2024,6,June,2,Monday,2024-06,2024-01-03,159
23,49,2024-03-27,Completed,Spain,2024-01-28,2024,3,March,1,Wednesday,2024-03,2024-03-27,0
24,59,2024-02-24,Completed,Spain,2023-02-24,2024,2,February,1,Saturday,2024-02,2024-02-24,0
25,170,2024-10-14,Completed,Morocco,2023-09-07,2024,10,October,4,Monday,2024-10,2024-03-01,227
26,188,2024-06-26,Returned,Germany,2023-07-30,2024,6,June,2,Wednesday,2024-06,2024-06-26,0
27,271,2024-12-14,Completed,France,2023-08-29,2024,12,December,4,Saturday,2024-12,2024-05-30,198
28,190,2024-01-08,Completed,Spain,2023-10-20,2024,1,January,1,Monday,2024-01,2024-01-08,0
29,175,2024-11-16,Completed,Italy,2023-01-24,2024,11,November,4,Saturday,2024-11,2024-11-16,0
30,51,2024-11-08,Completed,Germany,2024-02-03,2024,11,November,4,Friday,2024-11,2024-02-10,272
31,55,2024-09-03,Completed,Italy,2024-05-04,2024,9,September,3,Tuesday,2024-09,2024-09-03,0
32,244,2024-11-18,Completed,Italy,2023-07-15,2024,11,November,4,Monday,2024-11,2024-03-11,252
33,131,2024-09-11,Completed,Spain,2024-04-08,2024,9,September,3,Wednesday,2024-09,2024-02-28,196
34,135,2024-11-23,Cancelled,France,2023-09-23,2024,11,November,4,Saturday,2024-11,2024-04-12,225
35,21,2024-02-23,Completed,France,2023-01-17,2024,2,February,1,Friday,2024-02,2024-02-23,0
36,167,2024-09-05,Completed,Morocco,2023-11-23,2024,9,September,3,Thursday,2024-09,2024-09-05,0
37,274,2024-08-26,Completed,Morocco,2023-06-12,2024,8,August,3,Monday,2024-08,2024-03-06,173
38,89,2024-08-16,Completed,Morocco,2024-03-04,2024,8,August,3,Friday,2024-08,2024-05-16,92
39,14,2024-03-07,Completed,Italy,2023-01-04,2024,3,March,1,Thursday,2024-03,2024-03-07,0
40,242,2024-02-20,Completed,France,2023-12-02,2024,2,February,1,Tuesday,2024-02,2024-01-12,39
41,265,2024-04-06,Completed,Italy,2023-03-29,2024,4,April,2,Saturday,2024-04,2024-01-26,71
42,53,2024-04-01,Cancelled,France,2023-11-04,2024,4,April,2,Monday,2024-04,2024-01-02,90
43,92,2024-09-20,Completed,Spain,2023-09-01,2024,9,September,3,Friday,2024-09,2024-04-14,159
44,264,2024-10-17,Completed,France,2023-01-02,2024,10,October,4,Thursday,2024-10,2024-03-02,229
45,35,2024-04-05,Cancelled,Spain,2023-11-14,2024,4,April,2,Friday,2024-04,2024-03-28,8
46,206,2024-03-28,Completed,Spain,2023-12-28,2024,3,March,1,Thursday,2024-03,2024-03-28,0
47,81,2024-03-18,Completed,Spain,2023-05-15,2024,3,March,1,Monday,2024-03,2024-03-18,0
48,50,2024-10-14,Completed,France,2024-04-04,2024,10,October,4,Monday,2024-10,2024-10-14,0
